,当前学区房价格,教育花费(千元/年),时间成本(分钟),占有教育资源,学校,学区,教育花费效率,时间成本效率,学区内教育资源占有差别,西城区教育资源占有差别,小区,户数
0,181855.4028636473,179.37184470161392,30.209259259259266,39.629629629629626,进步小学,展览路学区,0.021051811044683066,0.0,-7.105427357601002e-15,5.6380532257406415,车公庄大街北里,2516
1,138070.56089002077,136.65332273541782,31.018434343434347,27.575757575757578,西城区实验小学,陶然亭-白纸坊学区,-0.07516886529624707,-1.5692290833378975,0.0,-6.415818828131407,中华家园,192
2,173825.2324731543,171.32905096819,32.51592592592593,35.15555555555556,育翔小学,德胜学区,-0.007531735221327307,-0.48743090021385543,0.0,1.1639791516665738,新明胡同小区,919
3,152510.348369173,151.09860920214393,38.38741830065359,32.07843137254902,三义里小学,广安门外学区,-0.03230307099644293,-0.5017280376368405,0.0,-1.9131450313399654,三义西里,578
4,185976.47073753507,183.0952145771369,35.933703703703706,35.15555555555556,五路通小学,德胜学区,-0.00698594314472998,-0.3551792067272347,0.0,1.1639791516665738,北广家园,483
5,201282.45205391993,198.13608358928312,38.21,35.15555555555556,育翔小学,德胜学区,-0.006393671991014819,-0.30081928430908633,0.0,1.1639791516665738,新风北里,460
6,164997.19371728366,162.9891778171172,33.981045751633985,32.07843137254902,椿树馆小学,广安门外学区,-0.02960312511482131,-0.7094317995742587,0.0,-1.9131450313399654,车站东街甲9号院,156
7,151548.1596992042,150.11626398340943,39.79705882352941,32.07843137254902,三义里小学,广安门外学区,-0.03254832019140907,-0.45875991873093164,0.0,-1.9131450313399654,马连道路5号院,406
8,158666.11277660215,156.49571740787036,30.091666666666665,38.121212121212125,北京第二实验小学白云路分校,月坛学区,0.013488737209791673,-0.22331609446071304,-7.105427357601002e-15,4.12963571732314,汽北小区,1122
9,170747.70994243864,168.88263946511935,37.85571895424837,32.07843137254902,三义里小学,广安门外学区,-0.028425551711289222,-0.5201021897262558,0.0,-1.9131450313399654,三义里,749
10,185825.837698618,183.26765577495823,28.87898550724638,36.28985507246377,北京市第十三中学附属小学,什刹海学区,0.0,-0.6026354404265499,-7.105427357601002e-15,2.2982786685747882,新街口东街,326
11,151290.60438478642,149.56031560022743,28.288888888888888,27.575757575757578,西城区实验小学,陶然亭-白纸坊学区,-0.0676382102093393,-2.4342149996600244,0.0,-6.415818828131407,建功东里,350
12,175130.75543608912,172.9686591473625,30.70868055555555,36.354166666666664,黄城根小学官园分校,新街口学区,0.000422429237959824,-0.4443327942723463,0.0,2.3625902627776796,官园胡同小区,436
13,151004.4304592776,149.34923378129602,29.965686274509803,32.07843137254902,康乐里小学,广安门内-牛街学区,-0.032742418999932674,-1.1391760201147059,7.105427357601002e-15,-1.9131450313399654,长椿苑,204
14,192307.4922232383,189.69302580739202,34.41753472222222,36.354166666666664,北京第二实验小学玉桃园分校,新街口学区,0.0003806170743201974,-0.2956061231204724,0.0,2.3625902627776796,玉桃园(二区),768
15,176448.79549800057,174.02321529333517,27.11717171717172,38.121212121212125,中古友谊小学,月坛学区,0.011946475773022089,-0.39903803331254795,-7.105427357601002e-15,4.12963571732314,三里河东路甲8号院,193
16,154142.7855501058,152.47768438827927,31.519771241830068,32.07843137254902,登莱小学,广安门内-牛街学区,-0.03196494637246096,-0.9228209139015534,7.105427357601002e-15,-1.9131450313399654,南线里小区,632
17,165438.53439307483,163.7050408077377,32.36792929292929,31.06060606060606,北京第一实验小学前门分校,大栅栏-椿树-天桥学区,-0.0365736300469196,-0.9488568046454836,3.552713678800501e-15,-2.930970343282926,前门西大街小区,1024
18,177752.70855632873,175.22988805407851,27.98585858585859,38.121212121212125,中古友谊小学,月坛学区,0.011853173775236871,-0.32447309335843944,-7.105427357601002e-15,4.12963571732314,三里河一区(5号院),608
19,180295.87515222662,177.9303577175108,29.93827160493827,39.629629629629626,展览路第一小学,展览路学区,0.02124484629809692,0.0,-7.105427357601002e-15,5.6380532257406415,百万庄午区,289
