,综合打分,市学科带头人人数,市级优秀教师人数,环境管理评级通过批次,家长评分,学校等级,学区房平均价格,学区房溢价,所属学区,多校划片后原学区房的平均溢价,多校划片后原学区房的平均价格,学校
0,28.666666666666664,0,0,1,7.0,区重点,122549.49000000002,10009.773424785933,新街口学区,38211.51569786464,150751.23227307873,北京第二实验小学玉桃园分校
1,18.0,0,0,1,6.0,普通,117560.98375,5021.267174785913,大栅栏-椿树-天桥学区,27416.826345910493,139956.54292112458,新世纪实验小学
2,18.0,0,0,1,6.0,普通,88614.1725,-23925.544075214086,广安门外学区,17900.179568172156,130439.89614338624,红莲小学
3,18.666666666666668,0,0,0,7.0,区重点,146156.44050000003,33616.72392478594,长安街学区,39502.20493314351,152041.9215083576,力学小学
4,20.0,0,0,2,4.0,普通,98690.41,-13849.306575214083,广安门内-牛街学区,17900.179568172156,130439.89614338624,登莱小学
5,38.66666666666666,0,0,2,7.0,区重点,120533.49807692305,7993.78150170896,展览路学区,35200.789184213936,147740.50575942802,展览路第一小学
6,32.666666666666664,0,1,0,8.0,市重点,127328.82750000001,14789.110924785928,陶然亭-白纸坊学区,-84.46905047543987,112455.24752473865,育才小学
7,28.666666666666664,0,0,1,7.0,区重点,135096.80625,22557.089674785908,月坛学区,28386.113321704353,140925.82989691844,北京第二实验小学白云路分校
8,0.0,0,0,0,4.0,普通,168315.0,55775.283424785914,什刹海学区,47266.851229713415,159806.5678049275,雷锋小学
9,22.000000000000004,0,0,1,7.0,普通,169280.23875,56740.5221747859,什刹海学区,47266.85122971347,159806.56780492756,北京市第十三中学附属小学
10,12.0,0,0,0,7.0,普通,137615.0146875,25075.298112285906,什刹海学区,47266.85122971347,159806.56780492756,鸦儿胡同小学
11,42.00000000000001,0,1,2,7.0,区重点,164633.86557692307,52094.14900170898,什刹海学区,47266.851229713444,159806.56780492753,厂桥小学
12,24.666666666666668,0,0,1,6.0,区重点,155132.63718750002,42592.92061228593,什刹海学区,47266.851229713415,159806.5678049275,西什库小学
13,49.333333333333336,0,0,2,8.0,市重点,137585.63,25045.91342478592,月坛学区,28386.113321704324,140925.8298969184,三里河第三小学
14,52.666666666666664,0,1,2,8.0,市重点,141960.18666666668,29420.47009145259,月坛学区,28386.113321704295,140925.82989691838,中古友谊小学
15,46.0,0,2,1,8.0,市重点,143796.05333333334,31256.336758119258,月坛学区,28386.113321704324,140925.8298969184,育民小学
16,38.66666666666666,0,4,0,7.0,市重点,110447.7255,-2091.991075214086,陶然亭-白纸坊学区,-84.46905047541077,112455.24752473868,宣武师范学校附属第一小学
17,35.333333333333336,0,1,2,7.0,普通,128874.67950000003,16334.962924785941,陶然亭-白纸坊学区,-84.46905047546898,112455.24752473862,陶然亭小学
18,28.666666666666664,0,0,1,7.0,区重点,110496.63333333332,-2043.0832418807695,陶然亭-白纸坊学区,-84.46905047539622,112455.24752473869,北京市第十五中学附属小学
19,18.666666666666668,0,0,0,7.0,区重点,148833.7790625,36294.062487285904,陶然亭-白纸坊学区,-84.46905047542532,112455.24752473866,北京市第八中学附属小学
20,8.0,0,0,0,6.0,普通,101309.97784090908,-11229.738734305007,陶然亭-白纸坊学区,-84.46905047543987,112455.24752473865,白纸坊小学
21,18.666666666666668,0,0,0,7.0,区重点,114139.22624999999,1599.509674785906,展览路学区,35200.789184213936,147740.50575942802,奋斗小学银河校区
22,38.66666666666666,0,0,2,7.0,区重点,121537.4661290323,8997.749553818212,展览路学区,35200.78918421388,147740.50575942796,阜成门外第一小学
23,18.0,0,0,1,6.0,普通,119486.34074999997,6946.624174785888,展览路学区,35200.789184213994,147740.50575942808,北京市西城外国语学校附属小学
24,38.0,0,1,2,6.0,区重点,114353.16576923079,1813.4491940167063,展览路学区,35200.78918421391,147740.505759428,进步小学
25,35.333333333333336,0,2,1,7.0,区重点,121391.86499999999,8852.148424785904,广安门内-牛街学区,17900.17956817217,130439.89614338626,康乐里小学
26,30.666666666666664,0,2,2,5.0,普通,104895.64749999999,-7644.0690752140945,广安门内-牛街学区,17900.179568172156,130439.89614338624,宣武回民小学
27,39.33333333333333,0,0,1,8.0,市重点,116061.2315625,3521.5149872859183,广安门内-牛街学区,17900.17956817217,130439.89614338626,北京小学广内分校
28,35.333333333333336,0,0,1,7.0,市重点,178662.624,66122.90742478592,长安街学区,39502.2049331436,152041.9215083577,自忠小学
29,27.999999999999996,0,0,2,6.0,普通,98046.71510869566,-14493.001466518428,广安门外学区,17900.179568172156,130439.89614338624,三义里小学
30,49.333333333333336,0,0,2,8.0,市重点,106069.44249999999,-6470.274075214096,广安门外学区,17900.179568172185,130439.89614338627,北京小学红山分校
31,22.000000000000004,0,0,1,7.0,普通,97286.49875,-15253.217825214087,广安门外学区,17900.179568172185,130439.89614338627,青年湖小学
32,38.66666666666666,0,0,2,7.0,区重点,100348.644375,-12191.072200214083,广安门外学区,17900.179568172156,130439.89614338624,北京第二实验小学广外分校
33,10.0,0,0,1,4.0,普通,105777.58153846153,-6762.135036752559,广安门外学区,17900.179568172156,130439.89614338624,椿树馆小学
34,10.0,0,0,1,4.0,普通,144046.1925,31506.47592478592,大栅栏-椿树-天桥学区,27416.826345910464,139956.54292112455,炭儿胡同小学
35,42.666666666666664,0,1,1,8.0,市重点,150734.82374999998,38195.107174785895,大栅栏-椿树-天桥学区,27416.826345910493,139956.54292112458,北京第一实验小学前门分校
36,20.0,0,0,2,4.0,普通,161210.96775,48671.251174785924,新街口学区,38211.51569786461,150751.2322730787,京师附小
37,22.000000000000004,0,0,1,7.0,普通,141185.3625,28645.645924785902,新街口学区,38211.51569786467,150751.23227307876,志成小学
38,89.33333333333333,1,6,2,8.0,市重点,156378.09886363635,43838.38228842226,新街口学区,38211.51569786464,150751.23227307873,黄城根小学官园分校
39,89.33333333333333,1,6,2,8.0,市重点,168863.86125,56324.1446747859,什刹海学区,47266.851229713444,159806.56780492753,黄城根小学
40,46.0,0,2,1,8.0,市重点,158746.8593918919,46207.142816677806,德胜学区,38996.86425361602,151536.5808288301,育翔小学
41,24.666666666666668,0,0,1,6.0,区重点,137950.3125,25410.595924785914,德胜学区,38996.86425361602,151536.5808288301,三帆中学附属小学
42,18.666666666666668,0,0,0,7.0,区重点,156137.079,43597.36242478591,德胜学区,38996.86425361602,151536.5808288301,北京第二实验小学德胜校区
43,38.66666666666666,0,0,2,7.0,区重点,149892.1956,37352.47902478592,德胜学区,38996.86425361599,151536.58082883008,五路通小学
44,49.333333333333336,0,0,2,8.0,市重点,125157.72937500001,12618.012799785924,德胜学区,38996.86425361599,151536.58082883008,北京西城区师范学校附属小学
45,59.333333333333336,0,3,2,8.0,市重点,191410.66720588238,78870.95063066829,金融街学区,24293.861027036357,136833.57760225044,奋斗小学
46,35.333333333333336,0,2,1,7.0,区重点,188773.52287499997,76233.80629978588,金融街学区,24293.861027036444,136833.57760225053,西单小学
47,22.000000000000004,0,0,1,7.0,普通,165381.615,52841.898424785904,金融街学区,24293.861027036415,136833.5776022505,华嘉小学
48,18.0,0,0,1,6.0,普通,182018.025,69478.30842478591,金融街学区,24293.861027036386,136833.57760225047,北京第二实验小学涭水河分校
49,90.0,1,6,1,9.0,全国重点,201932.98125000004,89393.26467478595,金融街学区,24293.861027036328,136833.5776022504,北京第二实验小学
50,39.33333333333333,0,0,1,8.0,市重点,101250.0330882353,-11289.683486978785,广安门外学区,17900.17956817217,130439.89614338626,北京小学天宁寺分校
51,18.0,0,0,1,6.0,普通,95868.82038461539,-16670.896190598694,陶然亭-白纸坊学区,-84.46905047545442,112455.24752473863,西城区实验小学
52,28.666666666666664,0,0,1,7.0,区重点,148166.47125,35626.754674785916,长安街学区,39502.20493314357,152041.92150835766,顺城街第一小学
