,当前学区房价格,教育花费(千元/年),时间成本(分钟),占有教育资源,学校,学区,教育花费效率,时间成本效率,学区内教育资源占有差别,西城区教育资源占有差别,小区,户数
0,135703.30157841023,103.0836544,6.483333333333333,38.0,进步小学,展览路学区,0.1454009516154953,-1.7708333333333337,5.941566113124402,3.7031857434886604,车公庄大街北里,2516
1,103030.37835838845,86.06249152,3.8333333333333335,18.0,西城区实验小学,陶然亭-白纸坊学区,-0.08927062015419972,-8.355555555555556,-9.262577031585828,-16.29681425651134,中华家园,192
2,129711.06479540878,134.64457632000003,26.883333333333336,46.0,育翔小学,德胜学区,0.17307395041533258,-0.12437810945273639,8.722037402499765,11.70318574348866,新明胡同小区,919
3,113805.57009949263,82.58483968,2.283333333333333,27.999999999999996,三义里小学,广安门外学区,0.04681540127887865,-9.6969696969697,-4.567545485343064,-6.296814256511343,三义西里,578
4,138778.50587648986,134.19604384,2.7999999999999994,38.66666666666666,五路通小学,德胜学区,0.11399459178910576,-3.926380368098165,1.3887040691664225,4.369852410155318,北广家园,483
5,150200.06479540878,154.6483968,40.0,46.0,育翔小学,德胜学区,0.14890799586947087,-0.08350730688935289,8.722037402499765,11.70318574348866,新风北里,460
6,123123.44635367324,98.52814528000003,2.3833333333333333,10.0,椿树馆小学,广安门外学区,-0.16830197803833727,-17.10144927536232,-22.56754548534306,-24.29681425651134,车站东街甲9号院,156
7,113087.57009949263,83.34384192,17.983333333333334,27.999999999999996,三义里小学,广安门外学区,0.0463216175453112,-1.1918063314711362,-4.567545485343064,-6.296814256511343,马连道路5号院,406
8,118399.09627838405,110.59350783999997,4.816666666666666,28.666666666666668,北京第二实验小学白云路分校,月坛学区,0.04031839117414033,-4.366197183098592,-12.924889678842856,-5.630147589844672,汽北小区,1122
9,127414.57009949263,95.87157856,2.316666666666667,27.999999999999996,三义里小学,广安门外学区,0.03945315782058877,-9.552238805970152,-4.567545485343064,-6.296814256511343,三义里,749
10,138666.10118360777,145.39190688000002,26.033333333333335,22.000000000000004,北京市第十三中学附属小学,什刹海学区,-0.019899204527468264,-1.0533076429030184,-19.00249687890138,-12.296814256511336,新街口东街,326
11,112895.37835838845,95.69388832,7.016666666666667,18.0,西城区实验小学,陶然亭-白纸坊学区,-0.07907261581548748,-4.519230769230769,-9.262577031585828,-16.29681425651134,建功东里,350
12,130685.2661310135,132.73351648,1.0166666666666666,89.33333333333333,黄城根小学官园分校,新街口学区,0.5328924434846819,42.857142857142854,39.14308617234469,55.03651907682199,官园胡同小区,436
13,112681.83096905785,104.35103199999999,27.566666666666666,35.333333333333336,康乐里小学,广安门内-牛街学区,0.11473502648385593,-0.509399636143117,1.2439347052001608,1.036519076821996,长椿苑,204
14,143502.81158555896,115.29058335999999,6.083333333333333,28.666666666666668,北京第二实验小学玉桃园分校,新街口学区,0.03849582070738424,-3.4444444444444446,-21.523580494321973,-5.630147589844672,玉桃园(二区),768
15,131668.8079185957,131.08686624,15.6,52.666666666666664,中古友谊小学,月坛学区,0.23391096429629285,0.21482277121374838,11.07511032115714,18.369852410155325,三里河东路甲8号院,193
16,115023.71985794674,85.80416832000002,18.05,20.0,登莱小学,广安门内-牛街学区,-0.06270634166705058,-1.6326530612244898,-14.089398628133175,-14.29681425651134,南线里小区,632
17,123452.78156111068,131.69413728,17.333333333333332,42.666666666666664,北京第一实验小学前门分校,大栅栏-椿树-天桥学区,0.14961233290127682,-0.3864734299516911,17.389666220545884,8.369852410155325,前门西大街小区,1024
18,132641.8079185957,130.5768256,10.55,52.666666666666664,中古友谊小学,月坛学区,0.23491189112717112,0.3184713375796174,11.07511032115714,18.369852410155325,三里河一区(5号院),608
19,134539.55798866664,107.42046783999997,4.4,38.66666666666666,展览路第一小学,展览路学区,0.1457767418303098,-2.471042471042473,6.608232779791059,4.369852410155318,百万庄午区,289
20,111895.38652461341,88.24496832,19.95,30.666666666666668,宣武回民小学,广安门内-牛街学区,0.07806221651081577,-0.9395973154362417,-3.422731961466507,-3.630147589844672,牛街东里(二区),340
21,106544.08814859822,95.77141920000001,22.95,8.0,白纸坊小学,陶然亭-白纸坊学区,-0.1974999214898312,-1.8075801749271139,-19.262577031585828,-26.29681425651134,恬心家园,672
22,164839.39285027437,141.44424352,6.266666666666667,12.0,鸦儿胡同小学,什刹海学区,-0.09739016636998507,-6.037735849056604,-29.002496878901383,-22.29681425651134,前马厂胡同小区,72
23,108044.37835838845,92.41776,18.683333333333334,18.0,西城区实验小学,陶然亭-白纸坊学区,-0.08226942512758344,-1.6845878136200716,-9.262577031585828,-16.29681425651134,建功北里(三区),486
24,121308.43235476148,100.2234384,26.816666666666666,18.0,新世纪实验小学,大栅栏-椿树-天桥学区,-0.0750410713290777,-1.172069825436409,-7.2770004461207805,-16.29681425651134,北纬路49号院,183
25,143184.30157841026,111.84750432000003,23.05,38.0,进步小学,展览路学区,0.13271712200249602,-0.49346879535558785,5.941566113124402,3.7031857434886604,九和苑,464
26,135881.76785027442,140.84478304,2.716666666666667,89.33333333333333,黄城根小学,什刹海学区,0.4995046804478396,15.189873417721516,48.330836454431946,55.03651907682199,太平仓胡同小区,555
27,237657.10118360774,240.5788,2.7999999999999994,22.000000000000004,北京市第十三中学附属小学,什刹海学区,-0.01163489467802464,-10.061349693251536,-19.00249687890138,-12.296814256511336,大翔凤胡同,102
28,137593.3605527692,110.93464511999998,22.583333333333332,18.0,北京市西城外国语学校附属小学,展览路学区,-0.06696705064030585,-1.3925925925925926,-14.058433886875598,-16.29681425651134,北礼士路乙56号小区,234
29,136346.3605527692,108.25717407999998,8.35,18.0,北京市西城外国语学校附属小学,展览路学区,-0.06881793309275445,-3.790322580645162,-14.058433886875598,-16.29681425651134,北礼士路149号院,272
30,119208.10874683563,88.64623583999999,20.566666666666666,22.000000000000004,青年湖小学,广安门外学区,-0.0345141326337335,-1.3344182262001627,-10.567545485343057,-12.296814256511336,广南小区,494
