,综合打分,市学科带头人人数,市级优秀教师人数,环境管理评级通过批次,家长评分,学校等级,学区房平均价格,学区房溢价,所属学区,多校划片后原学区房的平均溢价,多校划片后原学区房的平均价格,学校
0,28.666666666666664,0,0,1,7.0,区重点,141866.35336125008,11587.563960867861,新街口学区,44234.60585974062,174513.39526012284,北京第二实验小学玉桃园分校
1,18.0,0,0,1,6.0,普通,136091.5338135938,5812.744413211578,大栅栏-椿树-天桥学区,31738.403598684657,162017.19299906687,新世纪实验小学
2,18.0,0,0,1,6.0,普通,102581.98144031252,-27696.807960069695,广安门外学区,20721.695372605333,151000.48477298755,红莲小学
3,18.666666666666668,0,0,0,7.0,区重点,169194.3494338126,38915.56003343039,长安街学区,45728.73998573031,176007.52938611252,力学小学
4,20.0,0,0,2,4.0,普通,114246.48587625002,-16032.303524132192,广安门内-牛街学区,20721.695372605303,151000.48477298752,登莱小学
5,38.66666666666666,0,0,2,7.0,区重点,139532.59071129814,9253.801310915922,展览路学区,40749.313579375696,171028.1029797579,展览路第一小学
6,32.666666666666664,0,1,0,8.0,市重点,147399.03393468756,17120.24453430534,陶然亭-白纸坊学区,-97.7834845565958,130181.00591582562,育才小学
7,28.666666666666664,0,0,1,7.0,区重点,156391.4403351563,26112.650934774094,月坛学区,32860.47443403797,163139.26383442018,北京第二实验小学白云路分校
8,0.0,0,0,0,4.0,普通,194845.651875,64566.862474617796,什刹海学区,54717.2886547972,184996.07805517942,雷锋小学
9,22.000000000000004,0,0,1,7.0,普通,195963.0363829688,65684.24698258658,什刹海学区,54717.288654797114,184996.07805517933,北京市第十三中学附属小学
10,12.0,0,0,0,7.0,普通,159306.58137761726,29027.791977235043,什刹海学区,54717.288654797085,184996.0780551793,鸦儿胡同小学
11,42.00000000000001,0,1,2,7.0,区重点,190584.27863848564,60305.48923810343,什刹海学区,54717.288654797114,184996.07805517933,厂桥小学
12,24.666666666666668,0,0,1,6.0,区重点,179585.41912417972,49306.62972379751,什刹海学区,54717.28865479714,184996.07805517936,西什库小学
13,49.333333333333336,0,0,2,8.0,市重点,159272.56492875004,28993.775528367827,月坛学区,32860.47443403803,163139.26383442024,三里河第三小学
14,52.666666666666664,0,1,2,8.0,市重点,164336.66109000004,34057.87168961782,月坛学区,32860.474434038,163139.2638344202,中古友谊小学
15,46.0,0,2,1,8.0,市重点,166461.90624000004,36183.116839617825,月坛学区,32860.47443403803,163139.26383442024,育民小学
16,38.66666666666666,0,4,0,7.0,市重点,127857.04823193753,-2421.741168444685,陶然亭-白纸坊学区,-97.78348455658124,130181.00591582563,宣武师范学校附属第一小学
17,35.333333333333336,0,1,2,7.0,普通,149188.5508561875,18909.76145580529,陶然亭-白纸坊学区,-97.78348455653759,130181.00591582568,陶然亭小学
18,28.666666666666664,0,0,1,7.0,区重点,127913.66516250001,-2365.124237882206,陶然亭-白纸坊学区,-97.78348455658124,130181.00591582563,北京市第十五中学附属小学
19,18.666666666666668,0,0,0,7.0,区重点,172293.70348722662,42014.91408684441,陶然亭-白纸坊学区,-97.78348455661035,130181.0059158256,北京市第八中学附属小学
20,8.0,0,0,0,6.0,普通,117278.9630980824,-12999.826302299814,陶然亭-白纸坊学区,-97.78348455658124,130181.00591582563,白纸坊小学
21,18.666666666666668,0,0,0,7.0,区重点,132130.4217876563,1851.6323872740759,展览路学区,40749.313579375754,171028.10297975797,奋斗小学银河校区
22,38.66666666666666,0,0,2,7.0,区重点,140694.809227621,10416.019827238793,展览路学区,40749.313579375754,171028.10297975797,阜成门外第一小学
23,18.0,0,0,1,6.0,普通,138320.3752107188,8041.58581033659,展览路学区,40749.313579375696,171028.1029797579,北京市西城外国语学校附属小学
24,38.0,0,1,2,6.0,区重点,132378.0835236058,2099.29412322359,展览路学区,40749.313579375754,171028.10297975797,进步小学
25,35.333333333333336,0,2,1,7.0,区重点,140526.25772062503,10247.468320242813,广安门内-牛街学区,20721.695372605303,151000.48477298752,康乐里小学
26,30.666666666666664,0,2,2,5.0,普通,121429.82393718754,-8848.965463194676,广安门内-牛街学区,20721.695372605303,151000.48477298752,宣武回民小学
27,39.33333333333333,0,0,1,8.0,市重点,134355.3831875391,4076.593787156875,广安门内-牛街学区,20721.695372605333,151000.48477298755,北京小学广内分校
28,35.333333333333336,0,0,1,7.0,市重点,206824.32010800007,76545.53070761786,长安街学区,45728.73998573037,176007.52938611258,自忠小学
29,27.999999999999996,0,0,2,6.0,普通,113501.32857770384,-16777.460822678375,广安门外学区,20721.695372605274,151000.4847729875,三义里小学
30,49.333333333333336,0,0,2,8.0,市重点,122788.63837406255,-7490.151026319669,广安门外学区,20721.695372605303,151000.48477298752,北京小学红山分校
31,22.000000000000004,0,0,1,7.0,普通,112621.28311546877,-17657.50628491344,广安门外学区,20721.695372605303,151000.48477298752,青年湖小学
32,38.66666666666666,0,0,2,7.0,区重点,116166.0994446094,-14112.689955772817,广安门外学区,20721.695372605303,151000.48477298752,北京第二实验小学广外分校
33,10.0,0,0,1,4.0,普通,122450.77282846157,-7828.016571920642,广安门外学区,20721.695372605333,151000.48477298755,椿树馆小学
34,10.0,0,0,1,4.0,普通,166751.47359281252,36472.6841924303,大栅栏-椿树-天桥学区,31738.403598684687,162017.1929990669,炭儿胡同小学
35,42.666666666666664,0,1,1,8.0,市重点,174494.40034359382,44215.610943211606,大栅栏-椿树-天桥学区,31738.40359868463,162017.19299906684,北京第一实验小学前门分校
36,20.0,0,0,2,4.0,普通,186621.8465415938,56343.0571412116,新街口学区,44234.60585974065,174513.39526012287,京师附小
37,22.000000000000004,0,0,1,7.0,普通,163439.70526406256,33160.91586368035,新街口学区,44234.60585974062,174513.39526012284,志成小学
38,89.33333333333333,1,6,2,8.0,市重点,181027.1966970171,50748.407296634876,新街口学区,44234.60585974065,174513.39526012287,黄城根小学官园分校
39,89.33333333333333,1,6,2,8.0,市重点,195481.02737953136,65202.23797914914,什刹海学区,54717.288654797056,184996.07805517927,黄城根小学
40,46.0,0,2,1,8.0,市重点,183769.3331035389,53490.54370315668,德胜学区,45143.7449815923,175422.53438197452,育翔小学
41,24.666666666666668,0,0,1,6.0,区重点,159694.73050781255,29415.941107430335,德胜学区,45143.744981592245,175422.53438197446,三帆中学附属小学
42,18.666666666666668,0,0,0,7.0,区重点,180748.18607737508,50469.39667699287,德胜学区,45143.744981592215,175422.53438197443,北京第二实验小学德胜校区
43,38.66666666666666,0,0,2,7.0,区重点,173518.95293145004,43240.163531067825,德胜学区,45143.744981592274,175422.5343819745,五路通小学
44,49.333333333333336,0,0,2,8.0,市重点,144885.7164677344,14606.927067352182,德胜学区,45143.744981592274,175422.5343819745,北京西城区师范学校附属小学
45,59.333333333333336,0,3,2,8.0,市重点,221581.77362420963,91302.98422382741,金融街学区,28123.180871423057,158401.97027180527,奋斗小学
46,35.333333333333336,0,2,1,7.0,区重点,218528.94941817195,88250.16001778973,金融街学区,28123.18087142303,158401.97027180524,西单小学
47,22.000000000000004,0,0,1,7.0,普通,191449.89206437502,61171.1026639928,金融街学区,28123.180871423087,158401.9702718053,华嘉小学
48,18.0,0,0,1,6.0,普通,210708.61619062506,80429.82679024285,金融街学区,28123.18087142303,158401.97027180524,北京第二实验小学涭水河分校
49,90.0,1,6,1,9.0,全国重点,233762.6674195313,103483.87801914908,金融街学区,28123.180871423057,158401.97027180527,北京第二实验小学
50,39.33333333333333,0,0,1,8.0,市重点,117209.56955376842,-13069.219846613792,广安门外学区,20721.695372605274,151000.4847729875,北京小学天宁寺分校
51,18.0,0,0,1,6.0,普通,110980.14319774041,-19298.6462026418,陶然亭-白纸坊学区,-97.78348455658124,130181.00591582563,西城区实验小学
52,28.666666666666664,0,0,1,7.0,区重点,171521.21128078128,41242.421880399066,长安街学区,45728.739985730426,176007.52938611264,顺城街第一小学
53,25.33333333333333,0,0,0,7.0,市重点,115855.99037381253,-14422.799026569686,广安门外学区,20721.695372605333,151000.48477298755,北京小学广外分校
