,综合打分,市学科带头人人数,市级优秀教师人数,环境管理评级通过批次,家长评分,学校等级,学区房平均价格,学区房溢价,所属学区,多校划片后原学区房的平均溢价,多校划片后原学区房的平均价格,学校
0,28.666666666666664,0,0,1,7.0,区重点,148959.6710293125,12166.942158911173,新街口学区,12166.942158911173,148959.6710293125,北京第二实验小学玉桃园分校
1,18.0,0,0,1,6.0,普通,142896.11050427347,6103.381633872137,大栅栏-椿树-天桥学区,6103.381633872137,142896.11050427347,新世纪实验小学
2,18.0,0,0,1,6.0,普通,107711.08051232815,-29081.648358073187,广安门外学区,-29081.648358073187,107711.08051232815,红莲小学
3,18.666666666666668,0,0,0,7.0,区重点,177654.06690550316,40861.33803510183,长安街学区,40861.33803510183,177654.06690550316,力学小学
4,20.0,0,0,2,4.0,普通,119958.81017006253,-16833.918700338807,广安门内-牛街学区,-16833.918700338807,119958.81017006253,登莱小学
5,38.66666666666666,0,0,2,7.0,区重点,146509.22024686303,9716.491376461694,展览路学区,9716.491376461694,146509.22024686303,展览路第一小学
6,32.666666666666664,0,1,0,8.0,市重点,154768.9856314219,17976.256761020573,陶然亭-白纸坊学区,17976.256761020573,154768.9856314219,育才小学
7,28.666666666666664,0,0,1,7.0,区重点,164211.0123519141,27418.28348151277,月坛学区,27418.28348151277,164211.0123519141,北京第二实验小学白云路分校
8,0.0,0,0,0,4.0,普通,204587.93446875006,67795.20559834872,什刹海学区,67795.20559834872,204587.93446875006,雷锋小学
9,22.000000000000004,0,0,1,7.0,普通,205761.18820211725,68968.45933171592,什刹海学区,68968.45933171592,205761.18820211725,北京市第十三中学附属小学
10,12.0,0,0,0,7.0,普通,167271.9104464981,30479.181576096773,什刹海学区,30479.181576096773,167271.9104464981,鸦儿胡同小学
11,42.00000000000001,0,1,2,7.0,区重点,200113.4925704099,63320.76370000857,什刹海学区,63320.76370000857,200113.4925704099,厂桥小学
12,24.666666666666668,0,0,1,6.0,区重点,188564.69008038874,51771.96120998741,什刹海学区,51771.96120998741,188564.69008038874,西什库小学
13,49.333333333333336,0,0,2,8.0,市重点,167236.19317518754,30443.464304786205,月坛学区,30443.464304786205,167236.19317518754,三里河第三小学
14,52.666666666666664,0,1,2,8.0,市重点,172553.49414450006,35760.765274098725,月坛学区,35760.765274098725,172553.49414450006,中古友谊小学
15,46.0,0,2,1,8.0,市重点,174785.0015520001,37992.272681598755,月坛学区,37992.272681598755,174785.0015520001,育民小学
16,38.66666666666666,0,4,0,7.0,市重点,134249.9006435344,-2542.828226866928,陶然亭-白纸坊学区,-2542.828226866928,134249.9006435344,宣武师范学校附属第一小学
17,35.333333333333336,0,1,2,7.0,普通,156647.97839899693,19855.249528595596,陶然亭-白纸坊学区,19855.249528595596,156647.97839899693,陶然亭小学
18,28.666666666666664,0,0,1,7.0,区重点,134309.34842062506,-2483.380449776276,陶然亭-白纸坊学区,-2483.380449776276,134309.34842062506,北京市第十五中学附属小学
19,18.666666666666668,0,0,0,7.0,区重点,180908.38866158796,44115.65979118663,陶然亭-白纸坊学区,44115.65979118663,180908.38866158796,北京市第八中学附属小学
20,8.0,0,0,0,6.0,普通,123142.91125298654,-13649.817617414796,陶然亭-白纸坊学区,-13649.817617414796,123142.91125298654,白纸坊小学
21,18.666666666666668,0,0,0,7.0,区重点,138736.9428770391,1944.214006637776,展览路学区,1944.214006637776,138736.9428770391,奋斗小学银河校区
22,38.66666666666666,0,0,2,7.0,区重点,147729.54968900207,10936.82081860074,展览路学区,10936.82081860074,147729.54968900207,阜成门外第一小学
23,18.0,0,0,1,6.0,普通,145236.39397125473,8443.665100853395,展览路学区,8443.665100853395,145236.39397125473,北京市西城外国语学校附属小学
24,38.0,0,1,2,6.0,区重点,138996.9876997861,2204.2588293847803,展览路学区,2204.2588293847803,138996.9876997861,进步小学
25,35.333333333333336,0,2,1,7.0,区重点,147552.57060665629,10759.841736254952,广安门内-牛街学区,10759.841736254952,147552.57060665629,康乐里小学
26,30.666666666666664,0,2,2,5.0,普通,127501.31513404693,-9291.4137363544,广安门内-牛街学区,-9291.4137363544,127501.31513404693,宣武回民小学
27,39.33333333333333,0,0,1,8.0,市重点,141073.15234691606,4280.423476514727,广安门内-牛街学区,4280.423476514727,141073.15234691606,北京小学广内分校
28,35.333333333333336,0,0,1,7.0,市重点,217165.53611340007,80372.80724299874,长安街学区,80372.80724299874,217165.53611340007,自忠小学
29,27.999999999999996,0,0,2,6.0,普通,119176.39500658902,-17616.33386381231,广安门外学区,-17616.33386381231,119176.39500658902,三义里小学
30,49.333333333333336,0,0,2,8.0,市重点,128928.07029276567,-7864.658577635666,广安门外学区,-7864.658577635666,128928.07029276567,北京小学红山分校
31,22.000000000000004,0,0,1,7.0,普通,118252.34727124224,-18540.381599159096,广安门外学区,-18540.381599159096,118252.34727124224,青年湖小学
32,38.66666666666666,0,0,2,7.0,区重点,121974.4044168399,-14818.324453561436,广安门外学区,-14818.324453561436,121974.4044168399,北京第二实验小学广外分校
33,10.0,0,0,1,4.0,普通,128573.31146988468,-8219.417400516657,广安门外学区,-8219.417400516657,128573.31146988468,椿树馆小学
34,10.0,0,0,1,4.0,普通,175089.04727245314,38296.31840205181,大栅栏-椿树-天桥学区,38296.31840205181,175089.04727245314,炭儿胡同小学
35,42.666666666666664,0,1,1,8.0,市重点,183219.1203607735,46426.39149037216,大栅栏-椿树-天桥学区,46426.39149037216,183219.1203607735,北京第一实验小学前门分校
36,20.0,0,0,2,4.0,普通,195952.93886867352,59160.209998272185,新街口学区,59160.209998272185,195952.93886867352,京师附小
37,22.000000000000004,0,0,1,7.0,普通,171611.69052726566,34818.961656864325,新街口学区,34818.961656864325,171611.69052726566,志成小学
38,89.33333333333333,1,6,2,8.0,市重点,190078.55653186797,53285.82766146664,新街口学区,53285.82766146664,190078.55653186797,黄城根小学官园分校
39,89.33333333333333,1,6,2,8.0,市重点,205255.0787485079,68462.34987810656,什刹海学区,68462.34987810656,205255.0787485079,黄城根小学
40,46.0,0,2,1,8.0,市重点,192957.79975871585,56165.07088831451,德胜学区,56165.07088831451,192957.79975871585,育翔小学
41,24.666666666666668,0,0,1,6.0,区重点,167679.46703320317,30886.738162801834,德胜学区,30886.738162801834,167679.46703320317,三帆中学附属小学
42,18.666666666666668,0,0,0,7.0,区重点,189785.59538124377,52992.86651084243,德胜学区,52992.86651084243,189785.59538124377,北京第二实验小学德胜校区
43,38.66666666666666,0,0,2,7.0,区重点,182194.90057802256,45402.17170762122,德胜学区,45402.17170762122,182194.90057802256,五路通小学
44,49.333333333333336,0,0,2,8.0,市重点,152130.00229112114,15337.273420719808,德胜学区,15337.273420719808,152130.00229112114,北京西城区师范学校附属小学
45,59.333333333333336,0,3,2,8.0,市重点,232660.8623054201,95868.13343501877,金融街学区,95868.13343501877,232660.8623054201,奋斗小学
46,35.333333333333336,0,2,1,7.0,区重点,229455.39688908058,92662.66801867925,金融街学区,92662.66801867925,229455.39688908058,西单小学
47,22.000000000000004,0,0,1,7.0,普通,201022.38666759382,64229.657797192485,金融街学区,64229.657797192485,201022.38666759382,华嘉小学
48,18.0,0,0,1,6.0,普通,221244.0470001563,84451.31812975497,金融街学区,84451.31812975497,221244.0470001563,北京第二实验小学涭水河分校
49,90.0,1,6,1,9.0,全国重点,245450.80079050784,108658.07192010651,金融街学区,108658.07192010651,245450.80079050784,北京第二实验小学
50,39.33333333333333,0,0,1,8.0,市重点,123070.04803145684,-13722.680838944492,广安门外学区,-13722.680838944492,123070.04803145684,北京小学天宁寺分校
51,18.0,0,0,1,6.0,普通,116529.15035762744,-20263.578512773893,陶然亭-白纸坊学区,-20263.578512773922,116529.15035762741,西城区实验小学
52,28.666666666666664,0,0,1,7.0,区重点,180097.27184482038,43304.54297441905,长安街学区,43304.54297441905,180097.27184482038,顺城街第一小学
53,25.33333333333333,0,0,0,7.0,市重点,121648.78989250315,-15143.938977898186,广安门外学区,-15143.938977898186,121648.78989250315,北京小学广外分校
